"","Name","Earn"
"1745","Longy School of Music of Bard College","PrivacySuppressed"
"1746","University of Massachusetts-Lowell","48600"
"1747","Mansfield Beauty Schools-Springfield","PrivacySuppressed"
"1748","Mansfield Beauty Schools-Quincy","18900"
"1749","Marian Court College","32800"
"1750","University of Massachusetts-Amherst","46600"
"1751","University of Massachusetts-Boston","45000"
"1752","Massachusetts Bay Community College","39900"
"1753","MCPHS University","101700"
"1754","Massachusetts College of Art and Design","33600"
"1755","Massachusetts Institute of Technology","126500"
"1756","Massachusetts Maritime Academy","81200"
"1757","University of Massachusetts Medical School Worcester","122300"
"1758","William James College","NULL"
"1759","Massachusetts School of Barbering","PrivacySuppressed"
"1760","Massasoit Community College","32300"
"1761","Merrimack College","50000"
"1762","MGH Institute of Health Professions","PrivacySuppressed"
"1763","Middlesex Community College","33500"
"1764","Montserrat College of Art","25300"
"1765","Mount Holyoke College","42400"
"1766","Mount Ida College","36800"
"1767","Mount Wachusett Community College","31300"
"1768","Cortiva Institute-Boston","34800"
"1769","School of the Museum of Fine Arts-Boston","29500"
"1770","Everest Institute-Brighton","25300"
"1771","Rob Roy Academy-New Bedford","PrivacySuppressed"
"1772","The New England Conservatory of Music","31200"
"1773","New England College of Optometry","86100"
"1774","New England School of Acupuncture","NULL"
"1775","New England Law-Boston","68500"
"1776","New England School of Photography","27500"
"1777","Newbury College","34500"
"1778","Nichols College","42900"
"1779","Massachusetts College of Liberal Arts","31900"
"1780","North Bennet Street School","38000"
"1781","North Shore Community College","32500"
"1782","The New England Institute of Art","34600"
"1783","Northeastern University","61900"
"1784","Northern Essex Community College","32600"
"1785","College of Our Lady of the Elms","44700"
"1786","Pine Manor College","29400"
"1787","Pope St John XXIII National Seminary","NULL"
"1788","Quincy College","41800"
"1789","Quinsigamond Community College","33700"
"1790","Kaplan Career Institute-Charlestown","37200"
"1791","Regis College","50700"
"1792","Roxbury Community College","33200"
"1793","Saint John's Seminary","NULL"
"1794","Salem State University","40400"
"1795","Salter College-West Boylston","25000"
"1796","Simmons College","51000"
"1797","Bard College at Simon's Rock","33900"
"1798","Smith College","42000"
"1799","Southeastern Technical Institute","39600"
"1800","Springfield College","42900"
"1801","Springfield Technical Community College","31600"
"1802","University of Massachusetts-Dartmouth","42600"
"1803","Stonehill College","54800"
"1804","Suffolk University","47900"
"1805","Rob Roy Academy-Taunton","19400"
"1806","Tufts University","82900"
"1807","Wellesley College","55200"
"1808","Wentworth Institute of Technology","54800"
"1809","Western New England University","50400"
"1810","Westfield State University","41100"
"1811","Wheaton College","45100"
"1812","Wheelock College","34800"
"1813","Williams College","68800"
"1814","Worcester Polytechnic Institute","72900"
"1815","Worcester State University","43300"
"1816","Adrian College","35200"
"1817","Albion College","44200"
"1818","Hillsdale Beauty College","PrivacySuppressed"
"1819","Northwestern Technological Institute","32500"
"1820","Alma College","38100"
"1821","Alpena Community College","30200"
"1822","Andrews University","37200"
"1823","Aquinas College","34100"
"1824","Baker College of Owosso","27900"
"1825","Baker College","27900"
"1826","Bay de Noc Community College","28800"
"1827","Bayshire Academy of Beauty Craft Inc","14900"
"1828","Calvin College","40900"
"1829","Calvin Theological Seminary","PrivacySuppressed"
"1830","Carnegie Institute","36500"
"1831","Michigan School of Professional Psychology","NULL"
"1832","Central Michigan University","38800"
"1833","Mott Community College","27700"
"1834","Empire Beauty School-Michigan","18600"
"1835","Cleary University","53600"
"1836","Concordia University-Ann Arbor","35400"
"1837","Cranbrook Academy of Art","NULL"
"1838","College for Creative Studies","41500"
"1839","Davenport University","31400"
"1840","David Pressley School of Cosmetology","19400"
"1841","Delta College","29900"
"1842","Detroit Business Institute-Downriver","19300"
"1843","Michigan State University-College of Law","PrivacySuppressed"
"1844","MIAT College of Technology","38100"
"1845","University of Detroit Mercy","46700"
"1846","Dorsey Business Schools-Madison Heights","20900"
"1847","Dorsey Business Schools-Southgate","20900"
"1848","Eastern Michigan University","37200"
"1849","Ferris State University","43300"
"1850","Flint Institute of Barbering Inc","PrivacySuppressed"
"1851","Glen Oaks Community College","29100"
"1852","Kettering University","67000"
"1853","Gogebic Community College","26900"
"1854","Grace Bible College","28300"
"1855","Cornerstone University","35200"
"1856","Everest Institute-Grand Rapids","22200"
"1857","Grand Rapids Community College","29300"
"1858","Grand Valley State University","40300"
"1859","Great Lakes Christian College","27000"
"1860","Henry Ford College","30700"
"1861","Hope College","41900"
"1862","ITT Technical Institute-Wyoming","38300"
"1863","Jackson College","30000"
"1864","Wright Beauty Academy","PrivacySuppressed"
"1865","Kalamazoo College","43500"
"1866","Kalamazoo Valley Community College","29600"
"1867","Kellogg Community College","30900"
"1868","Kirtland Community College","25600"
"1869","Michigan College of Beauty-Monroe","PrivacySuppressed"
"1870","Lake Michigan College","24100"
"1871","Lake Superior State University","36500"
"1872","Lansing Community College","31100"
"1873","Lawrence Technological University","51000"
"1874","M J Murphy Beauty College of Mount Pleasant","PrivacySuppressed"
"1875","Macomb Community College","32000"
"1876","Madonna University","38600"
"1877","Marygrove College","28500"
"1878","Rochester College","33600"
"1879","University of Michigan-Ann Arbor","65800"
"1880","Michigan Barber School Inc","19200"
"1881","Michigan State University","51700"
"1882","Michigan Technological University","56800"
"1883","University of Michigan-Dearborn","46400"
"1884","University of Michigan-Flint","39100"
"1885","Mid Michigan Community College","28400"
"1886","Monroe County Community College","30100"
"1887","Montcalm Community College","27600"
"1888","Mr Bela's School of Cosmetology Inc","18400"
"1889","Baker College of Muskegon","27900"
"1890","Muskegon Community College","28200"
"1891","Everest College-Skokie","25100"
"1892","Everest Institute-Southfield","20600"
"1893","North Central Michigan College","27700"
"1894","Northern Michigan University","33700"
"1895","Paul Mitchell the School-Escanaba","PrivacySuppressed"
"1896","Northwestern Michigan College","30800"
"1897","Northwood University-Michigan","46400"
"1898","Oakland Community College","31000"
"1899","Oakland University","40600"
"1900","Olivet College","34000"
"1901","Port Huron Cosmetology College","17800"
"1902","Kuyper College","28000"
"1903","Ross Medical Education Center-Lansing","21300"
"1904","Ross Medical Education Center-Madison Heights","22100"
"1905","Ross Medical Education Center-Flint","19600"
"1906","Sacred Heart Major Seminary","PrivacySuppressed"
"1907","Saginaw Valley State University","37600"
"1908","Schoolcraft College","31700"
"1909","Siena Heights University","38100"
"1910","St Clair County Community College","31200"
"1911","Southwestern Michigan College","25200"
"1912","Specs Howard School of Media Arts","26900"
"1913","Spring Arbor University","39000"
"1914","Michigan Career and Technical Institute","20300"
"1915","Finlandia University","31400"
"1916","Western Michigan University-Thomas M. Cooley Law School","NULL"
"1917","Twin City Beauty College","17300"
"1918","Walsh College of Accountancy and Business Administration","55700"
"1919","Washtenaw Community College","29400"
"1920","Wayne County Community College District","25000"
"1921","Wayne State University","44600"
"1922","West Shore Community College","28300"
"1923","Western Michigan University","41600"
"1924","Western Theological Seminary","NULL"
"1925","Wright Beauty Academy","14400"
"1926","Academy College","33800"
"1927","Alexandria Technical & Community College","36400"
"1928","American Indian OIC Inc","PrivacySuppressed"
"1929","Anoka Technical College","37300"
"1930","Anoka-Ramsey Community College","36100"
"1931","Augsburg College","44000"
"1932","Riverland Community College","32000"
"1933","Northwest Technical College","32500"
"1934","Bemidji State University","37200"
"1935","Bethany Lutheran College","31400"
"1936","Bethel University","46000"
"1937","Bethel Seminary-St Paul","46000"
"1938","Central Lakes College-Brainerd","32400"
"1939","Carleton College","52100"
"1940","Concordia College at Moorhead","40600"
"1941","Concordia University-Saint Paul","48300"
"1942","Dakota County Technical College","36900"
"1943","Martin Luther College","34800"
"1944","Lake Superior College","35600"
"1945","Cosmetology Careers Unlimited College of Hair Skin and Nails","PrivacySuppressed"
"1946","Duluth Business University","22300"
"1947","Minnesota State Community and Technical College","34600"
"1948","Globe University-Woodbury","28300"
"1949","Minnesota West Community and Technical College","34200"
"1950","Gustavus Adolphus College","47600"
"1951","Hamline University","47700"
"1952","Hazelden Betty Ford Graduate School of Addiction Studies","NULL"
"1953","Hennepin Technical College","34600"
"1954","Cosmetology Careers Unlimited College of Hair Skin and Nails","PrivacySuppressed"
"1955","Hibbing Community College","34600"
"1956","Aveda Institute-Minneapolis","30100"
"1957","Inver Hills Community College","38700"
"1958","Itasca Community College","35900"
"1959","The Art Institutes International-Minnesota","33400"
"1960","Luther Seminary","55600"
"1961","Macalester College","43500"
"1962","South Central College","33600"
"1963","Minnesota State University-Mankato","41200"
"1964","Regency Beauty Institute-Blaine","22400"
"1965","Mayo Medical School","PrivacySuppressed"
"1966","Mayo School of Health Sciences","PrivacySuppressed"
"1967","Argosy University-Twin Cities","41500"
"1968","Mesabi Range College","33100"
"1969","Metropolitan State University","45800"
"1970","University of Minnesota-Twin Cities","49900"
"1971","University of Minnesota-Crookston","42000"
"1972","Minneapolis Business College","30200"
"1973","Minneapolis College of Art and Design","33200"
"1974","Minneapolis Community and Technical College","33400"
"1975","Herzing University-Minneapolis","37300"
"1976","Minnesota School of Cosmetology-Woodbury Campus","PrivacySuppressed"
"1977","Crossroads College","28200"
"1978","University of Minnesota-Duluth","45300"
"1979","University of Minnesota-Morris","36500"
"1980","Minnesota School of Business-Richfield","32500"
"1981","Model College of Hair Design","23800"
"1982","Minnesota State University Moorhead","38500"
"1983","North Hennepin Community College","37700"
"1984","National American University-Roseville","35300"
"1985","Sanford-Brown College-Mendota Heights","31100"
"1986","Normandale Community College","37000"
"1987","North Central University","31000"
"1988","Northland Community and Technical College","36500"
"1989","Northwest Technical Institute","45800"
"1990","University of Northwestern-St Paul","35700"
"1991","Northwestern Health Sciences University","43000"
"1992","Oak Hills Christian College","24500"
"1993","Regency Beauty Institute-Burnsville","22400"
"1994","Pine Technical & Community College","29900"
"1995","Rainy River Community College","27400"
"1996","Rochester Community and Technical College","35600"
"1997","College of Saint Benedict","48200"
"1998","St Cloud Technical and Community College","36000"
"1999","Regency Beauty Institute-St Cloud","22400"
"2000","Saint Cloud State University","41500"
"2001","Saint Johns University","54800"
"2002","Saint Mary's University of Minnesota","43300"
"2003","St Olaf College","45100"
"2004","Crown College","34900"
"2005","The College of Saint Scholastica","48800"
"2006","University of St Thomas","50800"
"2007","College of Visual Arts","33100"
"2008","Empire Beauty School-Bloomington","27600"
"2009","St Catherine University","45500"
"2010","Rasmussen College-Minnesota","30400"
"2011","Saint Paul College","31400"
"2012","Southwest Minnesota State University","35500"
"2013","Summit Academy Opportunities Industrialization Center","18200"
"2014","United Theological Seminary of the Twin Cities","NULL"
"2015","Vermilion Community College","33200"
"2016","Dunwoody College of Technology","45300"
"2017","Ridgewater College","31700"
"2018","Minnesota State College-Southeast Technical","33300"
"2019","Winona State University","41300"
"2020","William Mitchell College of Law","75500"
"2021","Century College","35000"
"2022","Alcorn State University","29800"
"2023","Belhaven University","37500"
"2024","Blue Mountain College","27500"
"2025","Chris Beauty College","17100"
"2026","Coahoma Community College","20800"
"2027","Antonelli College-Jackson","21000"
"2028","Copiah-Lincoln Community College","28200"
"2029","Creations College of Cosmetology","18800"
"2030","Delta Beauty College","17500"
"2031","Delta State University","33500"
"2032","East Central Community College","28600"
"2033","East Mississippi Community College","26500"
"2034","Fosters Cosmetology College","PrivacySuppressed"
"2035","Academy of Hair Design-Grenada","17800"
"2036","Hinds Community College","27300"
"2037","Holmes Community College","28800"
"2038","Itawamba Community College","27200"
"2039","Jackson State University","28800"
"2040","Jones County Junior College","29500"
"2041","Meridian Community College","27300"
"2042","Millsaps College","42000"
"2043","Mississippi Delta Community College","25100"
"2044","University of Mississippi","48000"
"2045","University of Mississippi Medical Center","48000"
"2046","Mississippi University for Women","34000"
"2047","Mississippi Valley State University","24300"
"2048","Mississippi College","39100"
"2049","Mississippi College of Beauty Culture","13300"
"2050","Mississippi Gulf Coast Community College","28900"
"2051","Mississippi State University","40600"
"2052","Northeast Mississippi Community College","28400"
"2053","Northwest Mississippi Community College","27700"
"2054","Pearl River Community College","29800"
"2055","Rust College","22000"
"2056","Southeastern Baptist College","PrivacySuppressed"
"2057","Southwest Mississippi Community College","28000"
"2058","University of Southern Mississippi","36700"
"2059","Magnolia College of Cosmetology","18800"
"2060","Tougaloo College","26700"
"2061","Wesley Biblical Seminary","NULL"
"2062","William Carey University","35000"
"2063","Anthem College-Maryland Heights","22200"
"2064","Aquinas Institute of Theology","NULL"
"2065","Assemblies of God Theological Seminary","PrivacySuppressed"
"2066","Avila University","40700"
"2067","ITT Technical Institute-Earth City","38300"
"2068","Baptist Bible College","29400"
"2069","House of Heavilin Beauty College-Blue Springs","19400"
"2070","Boonslick Technical Education Center","PrivacySuppressed"
"2071","Cox College","38500"
"2072","Calvary Bible College and Theological Seminary","31600"
"2073","Cape Girardeau Career and Technology Center","35200"
"2074","Central Christian College of the Bible","27800"
"2075","Central Bible College","30000"
"2076","Central Methodist University-College of Liberal Arts and Sciences","34500"
"2077","University of Central Missouri","36500"
"2078","Grand River Technical School","32200"
"2079","Chillicothe Beauty Academy Inc","PrivacySuppressed"
"2080","Cleveland University-Kansas City","45900"
"2081","Columbia Area Career Center","31000"
"2082","Columbia College","38500"
"2083","Conception Seminary College","PrivacySuppressed"
"2084","Concordia Seminary","PrivacySuppressed"
"2085","Cottey College","29500"
"2086","Covenant Theological Seminary","NULL"
"2087","Crowder College","26200"
"2088","Culver-Stockton College","33600"
"2089","DeVry University-Missouri","44000"
"2090","Drury University","31100"
"2091","East Central College","28200"
"2092","Eden Theological Seminary","NULL"
"2093","Elaine Steven Beauty College","19300"
"2094","Pinnacle Career Institute-South Kansas City","26900"
"2095","Evangel University","35400"
"2096","Fontbonne University","40200"
"2097","Forest Institute of Professional Psychology","NULL"
"2098","Four Rivers Career Center","PrivacySuppressed"
"2099","Ozarks Technical Community College","29100"
"2100","Hannibal-LaGrange University","33200"
"2101","Harris-Stowe State University","26700"
"2102","Hickey College","29000"
"2103","House of Heavilin Beauty College-Kansas City","14300"
"2104","Independence College of Cosmetology","18900"
"2105","Jefferson College","31200"
"2106","Paul Mitchell the School-Missouri Columbia","PrivacySuppressed"
"2107","Barnes-Jewish College Goldfarb School of Nursing","52300"
"2108","Kansas City Art Institute","25700"
"2109","Kenrick Glennon Seminary","NULL"
"2110","A T Still University of Health Sciences","164300"
"2111","Lake Career and Technical Center","PrivacySuppressed"
"2112","Lex La-Ray Technical Center","PrivacySuppressed"
"2113","Lincoln University","29700"
"2114","Lindenwood University","39800"
"2115","State Technical College of Missouri","39300"
"2116","Logan University","48500"
"2117","Metropolitan Community College-Kansas City","29900"
"2118","Lutheran School of Nursing","43600"
"2119","Maryville University of Saint Louis","45500"
"2120","Merrell University of Beauty Arts and Science","21900"
"2121","Metro Business College-Cape Girardeau","19400"
"2122","Midwest Institute","20400"
"2123","Midwestern Baptist Theological Seminary","PrivacySuppressed"
"2124","Mineral Area College","26500"
"2125","Westwood College-O'Hare Airport","30100"
"2126","Missouri Baptist University","33300"
"2127","National Academy of Beauty Arts-Farmington","PrivacySuppressed"
"2128","Missouri College","22600"
"2129","Missouri School of Barbering & Hairstyling-St. Louis","PrivacySuppressed"
"2130","Missouri Southern State University","32300"
"2131","Missouri Tech","37800"
"2132","Missouri Valley College","32900"
"2133","Missouri Western State University","31900"
"2134","University of Missouri-Columbia","47200"
"2135","University of Missouri-Kansas City","47500"
"2136","Missouri University of Science and Technology","61400"
"2137","University of Missouri-St Louis","41100"
"2138","Moberly Area Community College","27600"
"2139","Hillyard Technical Center","36400"
"2140","National Academy of Beauty Arts-St Louis","19800"
"2141","Nazarene Theological Seminary","NULL"
"2142","Neosho Beauty College","16500"
"2143","Nichols Career Center","35900"
"2144","Northwest Technical School","35400"
"2145","Truman State University","40900"
"2146","Northwest Missouri State University","37500"
"2147","Ozark Christian College","28100"
"2148","College of the Ozarks","29700"
"2149","Park University","46300"
"2150","Stevens-The Institute of Business & Arts","27100"
"2151","Poplar Bluff Technical Career Center","PrivacySuppressed"
"2152","Ranken Technical College","44100"
"2153","Research College of Nursing","64400"
"2154","Rockhurst University","46700"
"2155","Rolla Technical Institute/Center","33000"
"2156","Everest College-Springfield","24000"
"2157","Saint Louis University","53700"
"2158","Salem College of Hairstyling","15400"
"2159","Sanford-Brown College-Fenton","25600"
"2160","American College of Hair Design Inc","PrivacySuppressed"
"2161","Sikeston Career and Technology Center","33400"
"2162","Saint Louis Christian College","29300"
"2163","St Louis College of Pharmacy","107300"
"2164","Saint Louis Community College","27000"
"2165","Saint Paul School of Theology","NULL"
"2166","Southwest Baptist University","34000"
"2167","Missouri State University-West Plains","28400"
"2168","Mercy Hospital Springfield-School of Radiologic Technology","PrivacySuppressed"
"2169","Saint Luke's College of Health Sciences","57100"
"2170","St Louis College of Health Careers-St Louis","21600"
"2171","State Fair Community College","28700"
"2172","Stephens College","35300"
"2173","Southeast Missouri State University","35200"
"2174","Missouri State University-Springfield","37800"
"2175","Three Rivers Community College","26300"
"2176","North Central Missouri College","28800"
"2177","Eldon Career Center","PrivacySuppressed"
"2178","Truman Medical Center School of Nurse Anesthesia","NULL"
"2179","Kansas City University of Medicine and Biosciences","NULL"
"2180","Washington University in St Louis","68900"
"2181","Webster University","41000"
"2182","Wentworth Military Academy and College","27500"
"2183","Westminster College","41000"
"2184","William Jewell College","43900"
"2185","William Woods University","35000"
"2186","Academy of Cosmetology","PrivacySuppressed"
"2187","Blackfeet Community College","16800"
"2188","Butte Academy of Beauty Culture","PrivacySuppressed"
"2189","Highlands College of Montana Tech","46500"
"2190","Crevier's Academy of Cosmetology Arts","NULL"
"2191","Carroll College","41400"
"2192","Dawson Community College","30900"
"2193","Chief Dull Knife College","20100"
"2194","Montana State University-Billings","34700"
"2195","Flathead Valley Community College","27700"
"2196","Aaniiih Nakoda College","17800"
"2197","Fort Peck Community College","19600"
"2198","Great Falls College Montana State University","30300"
"2199","University of Great Falls","32700"
"2200","Helena College University of Montana","35100"
"2201","Little Big Horn College","18500"
"2202","Miles Community College","35800"
"2203","Modern Beauty School Inc","PrivacySuppressed"
"2204","Montana Tech of the University of Montana","46500"
"2205","Montana State University","41500"
"2206","The University of Montana","37100"
"2207","Montana State University-Northern","35600"
"2208","Rocky Mountain College","40500"
"2209","Salish Kootenai College","26100"
"2210","The University of Montana-Western","31800"
"2211","La'James International College","18500"
"2212","Bellevue University","55000"
"2213","Clarkson College","46700"
"2214","Bryan College of Health Sciences","45600"
"2215","Central Community College","29200"
"2216","Chadron State College","38100"
"2217","College of Hair Design-Downtown","19700"
"2218","Concordia University-Nebraska","36000"
"2219","Creighton University","59700"
"2220","Doane University-Arts & Sciences","42400"
"2221","Grace University","30800"
"2222","Hastings College","39500"
"2223","CHI Health School of Radiologic Technology","PrivacySuppressed"
"2224","Joseph's College Cosmetology","17200"
"2225","University of Nebraska at Kearney","39400"
"2226","Kaplan University-Lincoln Campus","36200"
"2227","Nebraska Methodist College of Nursing & Allied Health","43200"
"2228","Metropolitan Community College Area","29600"
"2229","Mid-Plains Community College","29900"
"2230","Midland University","38000"
"2231","Nebraska Christian College","28600"
"2232","University of Nebraska at Omaha","41900"
"2233","Kaplan University-Omaha Campus","36200"
"2234","Nebraska Indian Community College","17600"
"2235","University of Nebraska Medical Center","85600"
"2236","Nebraska Wesleyan University","43100"
"2237","University of Nebraska-Lincoln","44300"
"2238","Northeast Community College","34500"
"2239","Peru State College","34100"
"2240","College of Saint Mary","39700"
"2241","Southeast Community College Area","35300"
"2242","Union College","38800"
"2243","Vatterott College-Spring Valley","24800"
"2244","Nebraska College of Technical Agriculture","44300"
"2245","Wayne State College","34500"
"2246","Regional West Medical Center School of Radiologic Technology","NULL"
"2247","Western Nebraska Community College","30700"
"2248","York College","33900"
"2249","Academy of Hair Design-Las Vegas","20800"
"2250","Career College of Northern Nevada","25000"
"2251","College of Southern Nevada","32300"
"2252","The Art Institute of Las Vegas","29000"
"2253","Everest College-Henderson","25900"
"2254","Marinello Schools of Beauty-Las Vegas","20100"
"2255","University of Nevada-Las Vegas","42100"
"2256","University of Nevada-Reno","47300"
"2257","Great Basin College","36600"
"2258","Marinello Schools of Beauty-Reno","NULL"
"2259","Morrison University","33900"
"2260","Sierra Nevada College","37500"
"2261","Truckee Meadows Community College","34000"
"2262","Western Nevada College","32700"
"2263","Colby-Sawyer College","40800"
"2264","Continental Academie of Hair Design-Hudson","22100"
"2265","Daniel Webster College","53600"
"2266","Dartmouth College","85300"
"2267","Empire Beauty School-Laconia","19100"
"2268","Empire Beauty School-Somersworth","20500"
"2269","Franklin Pierce University","37900"
"2270","University of New Hampshire-School of Law","97700"
"2271","Mount Washington College","30500"
"2272","Keene Beauty Academy","20000"
"2273","Lebanon College","PrivacySuppressed"
"2274","Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School","24600"
"2275","New England College","37800"
"2276","New England School of Hair Design","18200"
"2277","Southern New Hampshire University","42800"
"2278","New Hampshire Institute for Therapeutic Arts","26400"
"2279","University of New Hampshire-Main Campus","47000"
"2280","Keene State College","37600"
"2281","University of New Hampshire at Manchester","47000"
"2282","Plymouth State University","37200"
"2283","NHTI-Concord's Community College","36600"
"2284","White Mountains Community College","32200"
"2285","River Valley Community College","PrivacySuppressed"
"2286","Lakes Region Community College","PrivacySuppressed"
"2287","Manchester Community College","34800"
"2288","Nashua Community College","34600"
"2289","Great Bay Community College","PrivacySuppressed"
"2290","Paul Mitchell the School-Portsmouth","PrivacySuppressed"
"2291","Rivier University","43500"
"2292","Saint Anselm College","52300"
"2293","St Joseph School of Nursing","38800"
"2294","Granite State College","34800"
"2295","Thomas More College of Liberal Arts","PrivacySuppressed"
"2296","Eastwick College-Hackensack","26800"
"2297","Atlantic Cape Community College","28800"
"2298","Fortis Institute-Wayne","26900"
"2299","Bergen Community College","36000"
"2300","Berkeley College-Woodland Park","37100"
"2301","Beth Medrash Govoha","32500"
"2302","Bloomfield College","37100"
"2303","Brookdale Community College","33600"
"2304","Rowan College at Burlington County","35100"
"2305","Caldwell University","42400"
"2306","Camden County College","32500"
"2307","Centenary College","43600"
"2308","Adult and Continuing Education-BCTS","PrivacySuppressed"
"2309","Branford Hall Career Institute-Parsippany","37700"
"2310","Lincoln Technical Institute-Edison","26400"
"2311","American Institute-Clifton","24700"
"2312","Dover Business College","29000"
"2313","Empire Beauty School-Ocean","20500"
"2314","Cooper Health System Center for Allied Health Education","PrivacySuppressed"
"2315","County College of Morris","36900"
"2316","Cumberland County College","30100"
"2317","DeVry University-New Jersey","44000"
"2318","Divers Academy International","50100"
"2319","Drake College of Business-Elizabeth","22900"
"2320","Drew University","45800"
"2321","duCret School of Arts","PrivacySuppressed"
"2322","Lincoln Technical Institute-South Plainfield","46200"
"2323","Essex County College","30600"
"2324","Empire Beauty School-Union","24600"
"2325","Fairleigh Dickinson University-Metropolitan Campus","46200"
"2326","Felician University","46800"
"2327","Fairleigh Dickinson University-College at Florham","46200"
"2328","Hohokus School of Trade and Technical Sciences","PrivacySuppressed"
"2329","Georgian Court University","38800"
"2330","Rowan University","47100"
"2331","Rowan College at Gloucester County","33000"
"2332","Empire Beauty School-Cherry Hill","22100"
"2333","Harris School of Business-Cherry Hill Campus","24400"
"2334","Eastwick College-Ramsey","39300"
"2335","Holy Name Medical Center School of Nursing","62500"
"2336","Hudson County Community College","29100"
"2337","New Jersey City University","39400"
"2338","Joe Kubert School of Cartoon and Graphic Art","PrivacySuppressed"
"2339","Kean University","41800"
"2340","Harris School of Business-Voorhees Campus","22200"
"2341","Lincoln Technical Institute-Union","37000"
"2342","Rizzieri Aveda School for Beauty and Wellness","24500"
"2343","Mercer County Community College","34000"
"2344","Middlesex County College","35800"
"2345","Monmouth University","45800"
"2346","Montclair State University","44600"
"2347","HackensackUMC Mountainside School of Nursing","64800"
"2348","JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing","57300"
"2349","Eastwick College-Nutley","30200"
"2350","Empire Beauty School-Jersey City","19000"
"2351","New Brunswick Theological Seminary","NULL"
"2352","Robert Fiance Beauty Schools-West New York","17600"
"2353","New Jersey Institute of Technology","59200"
"2354","Ocean County College","33900"
"2355","Omega Institute","25000"
"2356","P B Cosmetology Education Center","20100"
"2357","Parisian Beauty School","23400"
"2358","Passaic County Community College","27800"
"2359","Pennco Tech-Blackwood","31600"
"2360","Princeton Theological Seminary","58600"
"2361","Princeton University","93200"
"2362","Rabbinical College of America","25000"
"2363","Ramapo College of New Jersey","48200"
"2364","Robert Fiance Beauty Schools-Perth Amboy","18600"
"2365","Rider University","45100"
"2366","Roman Academy of Beauty Culture","27100"
"2367","Rutgers University-Camden","54700"
"2368","Rutgers University-New Brunswick","54700"
"2369","Rutgers University-Newark","54700"
"2370","St Francis Medical Center-School of Radiologic Technology","NULL"
"2371","Saint Francis Medical Center School of Nursing","NULL"
"2372","Saint Peter's University","42600"
"2373","Salem Community College","29100"
"2374","Seton Hall University","53400"
"2375","Atlantic Beauty & Spa Academy LLC","16100"
"2376","College of Saint Elizabeth","42700"
"2377","Raritan Valley Community College","40100"
"2378","Stevens Institute of Technology","73900"
"2379","Stockton University","43300"
"2380","Talmudical Academy-New Jersey","PrivacySuppressed"
"2381","Teterboro School of Aeronautics","54700"
"2382","Thomas Edison State University","57400"
"2383","The College of New Jersey","53300"
"2384","Sanford-Brown Institute-Iselin","30100"
"2385","Union County College","32600"
"2386","University of Medicine and Dentistry of New Jersey","107400"
"2387","William Paterson University of New Jersey","41900"
"2388","Olympian Academy of Cosmetology","18700"
"2389","Central New Mexico Community College","30300"
"2390","Navajo Technical University","18700"
"2391","De Wolff College Hair Styling and Cosmetology","18300"
"2392","New Mexico State University-Dona Ana","34000"
"2393","Clovis Community College","27400"
"2394","Eastern New Mexico University-Main Campus","30100"
"2395","Eastern New Mexico University-Roswell Campus","30100"
"2396","Institute of American Indian and Alaska Native Culture","PrivacySuppressed"
"2397","New Mexico Highlands University","32400"
"2398","New Mexico Junior College","35600"
"2399","New Mexico Military Institute","36400"
"2400","University of New Mexico-Gallup Campus","37200"
"2401","New Mexico Institute of Mining and Technology","48900"
"2402","University of New Mexico-Los Alamos Campus","37200"
"2403","University of New Mexico-Main Campus","37200"
"2404","New Mexico State University-Alamogordo","34000"
"2405","New Mexico State University-Carlsbad","34000"
"2406","New Mexico State University-Grants","34000"
"2407","New Mexico State University-Main Campus","34000"
"2408","University of New Mexico-Valencia County Campus","37200"
"2409","Northern New Mexico College","27300"
"2410","San Juan College","31900"
"2411","Santa Fe Community College","30600"
"2412","Santa Fe University of Art and Design","37100"
"2413","University of the Southwest","37800"
"2414","Southwestern College","NULL"
"2415","Southwestern Indian Polytechnic Institute","20100"
"2416","University of New Mexico-Taos Campus","37200"
"2417","Mesalands Community College","29900"
"2418","Vogue College of Cosmetology-Santa Fe","NULL"
"2419","Western New Mexico University","31300"
"2420","Vaughn College of Aeronautics and Technology","50000"
"2421","Adelphi University","53700"
"2422","Adirondack Community College","30000"
"2423","Globe Institute of Technology","22800"
"2424","Bryant & Stratton College-Albany","23600"
"2425","Albany College of Pharmacy and Health Sciences","106500"
"2426","Albany Law School","82800"
"2427","Albany Medical College","142000"
"2428","Alfred University","38600"
"2429","Allen School-Brooklyn","27700"
"2430","The Ailey School","PrivacySuppressed"
"2431","American Academy of Dramatic Arts-New York","32800"
"2432","American Academy McAllister Institute of Funeral Service","38100"
"2433","Joffrey Ballet School","NULL"
"2434","American Musical and Dramatic Academy","28300"
"2435","Apex Technical School","32800"
"2436","Arnot Ogden Medical Center","PrivacySuppressed"
"2437","Associated Beth Rivkah Schools","PrivacySuppressed"
"2438","Austin's School of Spa Technology","19100"
"2439","Bank Street College of Education","PrivacySuppressed"
"2440","Bard College","33700"
"2441","Barnard College","51200"
"2442","Berk Trade and Business School","38700"
"2443","Berkeley College-New York","38500"
"2444","Beth Hatalmud Rabbinical College","PrivacySuppressed"
