"","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"23","Herzing University-Birmingham","Birmingham","AL","35209","www.herzing.edu/","33.468105","-86.832299","1",3,"21","NULL",26200,"0","0","0","2","0","0","0","0","0","0","2","0"
"24","Huntingdon College","Montgomery","AL","36106-2148","www.huntingdon.edu","32.350939","-86.285313","0.5839",2,"12","1026",32370,"0","0","0","0","1","0","1","1","1","1","1","1"
"25","Heritage Christian University","Florence","AL","35630-9977","www.hcu.edu","34.859089","-87.662062","1",2,"13","NULL",18631,"0","0","0","0","0","0","0","0","0","0","0","0"
"26","J F Drake State Community and Technical College","Huntsville","AL","35811","www.drakestate.edu","34.772116","-86.573817","NULL",1,"12","NULL",14779,"0","0","0","0","0","0","0","0","0","0","0","0"
"27","Jacksonville State University","Jacksonville","AL","36265","www.jsu.edu/","33.822128","-85.766644","0.8326",1,"13","1041",20830,"0","0","0","1","1","0","1","1","1","1","2","1"
"28","Jefferson Davis Community College","Brewton","AL","36426","www.jdcc.edu","31.101995","-87.085829","NULL",1,"32","NULL",9496,"0","0","0","0","0","0","0","0","0","0","0","0"
"29","Jefferson State Community College","Birmingham","AL","35215-3098","www.jeffstateonline.com","33.652439","-86.707387","NULL",1,"12","NULL",13418,"0","0","0","0","0","0","0","0","0","0","0","0"
"30","John C Calhoun State Community College","Tanner","AL","35671","www.calhoun.edu","34.65428","-86.949131","NULL",1,"41","NULL",10052,"0","0","0","0","0","0","0","0","0","0","0","0"
"31","Judson College","Marion","AL","36756","www.judson.edu","32.630526","-87.316127","0.6525",2,"43","NULL",28840,"1","0","0","0","2","0","1","1","2","2","2","2"
"32","Lawson State Community College-Birmingham Campus","Birmingham","AL","35221-1717","www.lawsonstate.edu","33.451673","-86.890234","NULL",1,"12","NULL",12597,"0","0","0","0","0","0","0","0","0","0","0","0"
"33","University of West Alabama","Livingston","AL","35470","www.uwa.edu","32.59244","-88.186077","0.7199",1,"43","990",17839,"0","0","0","0","2","0","1","1","1","1","2","1"
"34","Lurleen B Wallace Community College","Andalusia","AL","36420-1418","www.lbwcc.edu","31.322947","-86.452262","NULL",1,"41","NULL",13423,"0","0","0","0","0","0","0","0","0","0","0","0"
"35","Marion Military Institute","Marion","AL","36756-3207","www.marionmilitary.edu","32.622359","-87.317998","0.6139",1,"43","1055",16520,"0","0","0","0","0","0","0","0","0","0","0","0"
"36","Miles College","Fairfield","AL","35064-2621","www.miles.edu","33.481306","-86.908605","NULL",2,"21","NULL",22436,"0","1","0","1","1","0","1","1","0","1","1","1"
"37","University of Mobile","Mobile","AL","36613-2842","www.umobile.edu","30.793247","-88.128934","0.5847",2,"41","1014",31220,"0","0","0","1","1","0","1","1","1","1","1","1"
"38","University of Montevallo","Montevallo","AL","35115-6000","www.montevallo.edu","33.10625","-86.865099","0.743",1,"21","1070",22440,"0","0","0","0","1","0","1","1","1","1","1","1"
"39","Northwest-Shoals Community College","Muscle Shoals","AL","35661","www.nwscc.edu","34.739567","-87.67733","NULL",1,"13","NULL",11000,"0","0","0","0","0","0","0","0","0","0","0","0"
"40","University of North Alabama","Florence","AL","35632-0001","www.una.edu","34.80658","-87.680999","0.6788",1,"13","1029",15494,"0","0","0","1","1","0","1","1","1","2","1","2"
"41","Northeast Alabama Community College","Rainsville","AL","35986","www.nacc.edu","34.545471","-85.911664","NULL",1,"42","NULL",8145,"0","0","0","0","0","0","0","0","0","0","0","0"
"42","Oakwood University","Huntsville","AL","35896","www.oakwood.edu","34.756628","-86.661628","0.4787",2,"12","928",36064,"0","0","0","1","1","0","1","1","1","1","1","1"
"43","Alabama Southern Community College","Monroeville","AL","36460","www.ascc.edu","31.488925","-87.326352","NULL",1,"41","NULL",10708,"0","0","0","0","0","0","0","0","0","0","0","0"
"44","Prince Institute-Southeast","Elmhurst","IL","60126","princeinstitute.edu","41.928952","-87.962922","NULL",3,"21","NULL",27183,"0","0","0","0","0","0","0","0","0","0","0","0"
"45","Reid State Technical College","Evergreen","AL","36401","www.rstc.edu","31.46071","-86.964486","NULL",1,"41","NULL",9158,"0","0","0","0","0","0","0","0","0","0","0","0"
"46","Bishop State Community College","Mobile","AL","36603-5898","www.bishop.edu","30.693972","-88.056982","NULL",1,"12","NULL",9955,"0","0","0","0","0","0","0","0","0","0","0","0"
"47","Samford University","Birmingham","AL","35229-2240","www.samford.edu","33.464578","-86.790932","0.5954",2,"21","1165",40900,"0","1","0","1","1","1","1","1","1","1","1","1"
"48","Selma University","Selma","AL","36701","selmauniversity.edu","32.420358","-87.033826","NULL",2,"32","NULL",12621,"0","0","0","0","0","0","0","0","0","0","1","0"
"49","Shelton State Community College","Tuscaloosa","AL","35405-8522","www.sheltonstate.edu","33.120531","-87.56148","NULL",1,"13","NULL",13426,"0","0","0","0","0","0","0","0","0","0","0","0"
"50","Snead State Community College","Boaz","AL","35957-0734","www.snead.edu","34.201247","-86.169479","NULL",1,"32","NULL",10376,"0","0","0","0","0","0","0","0","0","0","0","0"
"51","University of South Alabama","Mobile","AL","36688-0002","www.southalabama.edu","30.695081","-88.18189","0.8335",1,"12","1048",18525,"0","0","0","1","1","1","1","1","1","1","1","1"
"52","Spring Hill College","Mobile","AL","36608-1791","www.shc.edu","30.694751","-88.138199","0.5177",2,"12","1116",44970,"0","0","0","0","1","1","1","1","1","1","1","1"
"53","Southeastern Bible College","Birmingham","AL","35244-2083","www.sebc.edu","33.378935","-86.749045","1",2,"21","930",17066,"0","0","0","0","0","0","0","0","0","0","0","0"
"54","Stillman College","Tuscaloosa","AL","35401","www.stillman.edu","33.199228","-87.585242","0.5901",2,"13","811",26185,"0","0","0","0","1","0","1","1","1","0","1","1"
"55","Talladega College","Talladega","AL","35160","www.talladega.edu","33.434258","-86.113675","NULL",2,"32","NULL",20918,"0","0","0","1","1","0","1","1","1","1","1","1"
"56","H Councill Trenholm State Community College","Montgomery","AL","36108-3199","www.trenholmstate.edu","32.350109","-86.343057","NULL",1,"12","NULL",9912,"0","0","0","0","0","0","0","0","0","0","0","0"
"57","Troy University","Troy","AL","36082-0001","www.troy.edu","31.800128","-85.950191","0.4414",1,"41","1050",17354,"0","1","0","2","1","0","1","1","2","2","2","2"
"58","Tuskegee University","Tuskegee","AL","36088-1920","www.tuskegee.edu","32.431021","-85.710315","0.4922",2,"32","978",32853,"1","1","1","1","1","1","1","1","1","1","1","1"
"59","United States Sports Academy","Daphne","AL","36526-7055","www.ussa.edu","30.639329","-87.91163","NULL",2,"13","NULL",NA,"0","0","0","0","2","0","0","0","0","0","0","0"
"60","Bevill State Community College","Jasper","AL","35501","www.bscc.edu","33.835785","-87.265034","NULL",1,"32","NULL",13084,"0","0","0","0","0","0","0","0","0","0","0","0"
"61","University of Alaska Anchorage","Anchorage","AK","99508","www.uaa.alaska.edu","61.189554","-149.826135","NULL",1,"11","NULL",13610,"0","1","0","1","1","1","1","1","1","1","1","1"
"62","Alaska Bible College","Palmer","AK","99645","www.akbible.edu/","61.59843","-149.111341","NULL",2,"32","NULL",15990,"0","0","0","0","0","0","0","0","0","0","0","0"
"63","University of Alaska Fairbanks","Fairbanks","AK","99775-7500","www.uaf.edu","64.856483","-147.822943","NULL",1,"23","NULL",15340,"0","1","0","1","2","1","1","1","1","1","1","1"
"64","University of Alaska Southeast","Juneau","AK","99801-8697","www.uas.alaska.edu","58.38427","-134.636346","NULL",1,"33","NULL",15284,"0","1","0","1","2","0","1","1","0","2","2","0"
"65","Alaska Pacific University","Anchorage","AK","99508","www.alaskapacific.edu","61.191235","-149.804242","0.4207",2,"11","1054",42640,"0","1","0","0","1","0","1","0","1","0","2","0"
"66","AVTEC-Alaska's Institute of Technology","Seward","AK","99664-0889","www.avtec.edu/","60.110727","-149.444573","NULL",1,"43","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"67","Charter College-Anchorage","Anchorage","AK","99508","www.chartercollege.edu","61.195786","-149.840178","NULL",3,"11","NULL",30854,"0","0","0","2","0","0","0","0","0","0","2","0"
"68","Alaska Career College","Anchorage","AK","99507-1033","www.alaskacareercollege.edu","61.181443","-149.856954","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"69","Everest College-Phoenix","Phoenix","AZ","85021-1641","www.everestcollegephoenix.edu","33.580985","-112.113845","NULL",3,"11","NULL",26404,"0","0","0","0","0","0","0","0","0","0","2","0"
"70","Collins College","Phoenix","AZ","85040","www.collinscollege.edu","33.40334","-111.98646","NULL",3,"11","NULL",NA,"0","0","0","1","0","0","0","0","0","0","1","0"
"71","Empire Beauty School-Paradise Valley","Phoenix","AZ","85032","www.empire.edu","33.602593","-111.976357","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"72","Empire Beauty School-Tucson","Tucson","AZ","85716","www.empire.edu","32.235657","-110.927187","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"73","Thunderbird School of Global Management","Glendale","AZ","85306-6000","www.thunderbird.edu","33.620887","-112.180861","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"74","American Indian College Inc","Phoenix","AZ","85021","www.aicag.edu/","33.577738","-112.092247","NULL",2,"11","NULL",23387,"0","0","0","0","1","0","0","0","0","0","0","0"
"75","American Institute of Technology","Phoenix","AZ","85043-4729","www.ait-schools.com","33.442262","-112.175304","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"76","Carrington College-Phoenix","Phoenix","AZ","85051-4063","www.carrington.edu","33.560821","-112.115546","0.9904",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"77","Carrington College-Mesa","Mesa","AZ","85210","www.carrington.edu","33.39207","-111.855281","1",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"78","Carrington College-Tucson","Tucson","AZ","85745","www.carrington.edu","32.224","-110.982961","1",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"79","CollegeAmerica-Flagstaff","Flagstaff","AZ","86001","www.collegeamerica.edu","35.194607","-111.65739","NULL",2,"13","NULL",28692,"0","0","0","1","0","0","0","0","0","0","0","0"
"80","Arizona Academy of Beauty-East","Tucson","AZ","85712","www.arizonaacademy.com","32.237253","-110.872305","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"81","Arizona Automotive Institute","Glendale","AZ","85301-3579","www.aai.edu","33.537249","-112.157344","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"82","Brookline College-Phoenix","Phoenix","AZ","85021","www.brooklinecollege.edu","33.525384","-112.15007","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","2","0"
"83","Arizona State University-Tempe","Tempe","AZ","85287","www.asu.edu/","33.422247","-111.934629","0.8433",1,"12","1145",22312,"0","1","1","1","1","1","1","1","1","2","1","1"
"84","Arizona Western College","Yuma","AZ","85365-8834","www.azwestern.edu","32.689306","-114.495968","NULL",1,"13","NULL",14247,"0","0","0","0","0","0","0","0","0","0","0","0"
"85","University of Arizona","Tucson","AZ","85721-0066","www.arizona.edu","32.232071","-110.950769","0.7462",1,"11","NULL",24617,"1","1","1","1","1","1","1","1","1","1","1","1"
"86","Southwest University of Visual Arts-Tucson","Tucson","AZ","85716","www.suva.edu","32.252384","-110.927321","NULL",3,"11","NULL",44388,"0","0","1","0","0","0","0","0","0","0","0","0"
"87","Central Arizona College","Coolidge","AZ","85128-9030","www.centralaz.edu","32.957092","-111.652501","NULL",1,"41","NULL",10163,"0","0","0","0","0","0","0","0","0","0","0","0"
"88","Brown Mackie College-Tucson","Tucson","AZ","85712","www.brownmackie.edu","32.236736","-110.895086","NULL",3,"11","NULL",24379,"0","0","0","1","0","0","0","0","0","0","1","0"
"89","Charles of Italy Beauty College","Lake Havasu City","AZ","86403","www.charlesofitaly.edu","34.475275","-114.328134","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"90","Cochise County Community College District","Douglas","AZ","85607-6190","www.cochise.edu","31.365757","-109.690422","NULL",1,"42","NULL",10243,"0","0","0","0","0","0","0","0","0","0","0","0"
"91","Empire Beauty School-Flagstaff","Flagstaff","AZ","86004","www.empire.edu","35.197151","-111.625936","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"92","Empire Beauty School-Chandler","Chandler","AZ","85224","www.empire.edu","33.347586","-111.860423","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"93","Cortiva Institute-Tucson","Tucson","AZ","85710","www.cortiva.com/","32.21901","-110.856785","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"94","Avalon School of Cosmetology-Mesa","Mesa","AZ","85210","avalon.edu/locations/mesa-az/","33.376583","-111.858305","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"95","Eastern Arizona College","Thatcher","AZ","85552-0769","www.eac.edu","32.840719","-109.761664","NULL",1,"33","NULL",11640,"0","0","0","0","0","0","0","0","0","0","0","0"
"96","Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720","www.erau.edu","34.615678","-112.452285","0.8016",2,"41","NULL",46174,"0","0","0","0","0","1","0","0","1","1","1","0"
"97","Frank Lloyd Wright School of Architecture","Scottsdale","AZ","85261-4430","www.taliesin.edu","33.60715","-111.846477","NULL",2,"41","NULL",NA,"0","0","1","0","0","0","0","0","0","0","0","0"
"98","Glendale Community College","Glendale","AZ","85302","www.gccaz.edu","33.567483","-112.188334","NULL",1,"21","NULL",11822,"0","0","0","0","0","0","0","0","0","0","0","0"
"99","Grand Canyon University","Phoenix","AZ","85017","www.gcu.edu","33.512172","-112.129917","0.5757",3,"11","NULL",30945,"0","0","0","1","2","1","1","0","2","2","2","2"
"100","International Academy of Hair Design","Tempe","AZ","85282-6730","www.intlacademyaz.com/","33.38145","-111.940071","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"101","GateWay Community College","Phoenix","AZ","85034","www.gatewaycc.edu","33.4495","-111.996527","NULL",1,"11","NULL",12818,"0","0","0","0","0","0","0","0","0","0","0","0"
"102","Mesa Community College","Mesa","AZ","85202","www.mesacc.edu","33.391256","-111.871494","NULL",1,"11","NULL",12575,"0","0","0","0","0","0","0","0","0","0","0","0"
"103","ITT Technical Institute-Tucson","Tucson","AZ","85704-5829","www.itt-tech.edu","32.297261","-110.997501","0.9358",3,"21","NULL",27071,"0","0","0","1","0","0","0","0","0","0","1","0"
"104","ITT Technical Institute-Tempe","Tempe","AZ","85282","www.itt-tech.edu","33.380355","-111.969169","0.9191",3,"12","NULL",27722,"0","0","0","1","0","0","0","0","0","0","1","0"
"105","Mohave Community College","Kingman","AZ","86409-1238","www.mohave.edu","35.270737","-114.030244","NULL",1,"41","NULL",12238,"0","0","0","0","0","0","0","0","0","0","0","0"
"106","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Phoenix","AZ","85027","www.uti.edu/","33.684428","-112.121336","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"107","Dine College","Tsaile","AZ","86556","www.dinecollege.edu","36.293328","-109.21684","NULL",1,"43","NULL",11610,"0","0","0","0","1","0","0","0","0","0","0","0"
"108","Northern Arizona University","Flagstaff","AZ","86011-4092","nau.edu/","35.180095","-111.657653","0.8099",1,"13","NULL",22561,"0","1","0","1","2","2","2","1","2","2","2","1"
"109","Northland Pioneer College","Holbrook","AZ","86025-0610","www.npc.edu","34.922221","-110.1316","NULL",1,"41","NULL",13969,"0","0","0","0","0","0","0","0","0","0","0","0"
"110","Ottawa University-Phoenix","Phoenix","AZ","85021","www.ottawa.edu","33.57172","-112.113301","NULL",2,"11","NULL",NA,"0","0","0","1","2","0","1","2","2","0","2","2"
"111","Phoenix College","Phoenix","AZ","85013","www.phoenixcollege.edu","33.481361","-112.088293","NULL",1,"11","NULL",12413,"0","0","0","0","0","0","0","0","0","0","0","0"
"112","Cortiva Institute-Scottsdale","Scottsdale","AZ","85257","www.cortiva.com/","33.466554","-111.908433","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"113","Pima Community College","Tucson","AZ","85709-1275","www.pima.edu","32.221737","-110.887033","NULL",1,"11","NULL",7295,"0","0","0","0","0","0","0","0","0","0","0","0"
"114","Pima Medical Institute-Tucson","Tucson","AZ","85716","pmi.edu","32.250448","-110.921306","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"115","Pima Medical Institute-Albuquerque","Albuquerque","NM","87110","pmi.edu","35.10488","-106.594381","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"116","Prescott College","Prescott","AZ","86301","www.prescott.edu","34.5445","-112.476509","0.6873",2,"13","1073",41256,"2","2","2","0","2","0","2","0","2","2","2","0"
"117","Refrigeration School Inc","Phoenix","AZ","85034-1816","refrigerationschool.com","33.448692","-111.989357","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"118","Rio Salado College","Tempe","AZ","85281","www.rio.maricopa.edu","33.413138","-111.975201","NULL",1,"12","NULL",11855,"0","0","0","0","0","0","0","0","0","0","0","0"
"119","Roberto-Venn School of Luthiery","Phoenix","AZ","85007","www.roberto-venn.com","33.45489","-112.086161","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"120","Hair Academy of Safford","Safford","AZ","85546","hairacademysafford.com","32.835302","-109.727696","NULL",3,"41","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"121","Scottsdale Community College","Scottsdale","AZ","85256","www.scottsdalecc.edu","33.509489","-111.887298","NULL",1,"41","NULL",12461,"0","0","0","0","0","0","0","0","0","0","0","0"
"122","South Mountain Community College","Phoenix","AZ","85042","www.southmountaincc.edu","33.381001","-112.057515","NULL",1,"11","NULL",12324,"0","0","0","0","0","0","0","0","0","0","0","0"
"123","Arizona Christian University","Phoenix","AZ","85032-7097","www.arizonachristian.edu","33.595117","-112.026211","0.5673",2,"11","988",33945,"0","0","0","0","1","0","1","0","1","1","1","0"
"124","Tucson College","Tucson","AZ","85711","www.tucsoncollege.edu","32.22205","-110.883181","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"125","Universal Technical Institute of Arizona Inc","Avondale","AZ","85323","www.uti.edu","33.453533","-112.289693","NULL",3,"22","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"126","Western International University","Tempe","AZ","85282","www.west.edu","33.403625","-111.964182","NULL",3,"12","NULL",9800,"0","0","0","2","0","0","0","0","0","2","2","0"
"127","Empire Beauty School-NW Phoenix","Phoenix","AZ","85051","www.empire.edu","33.538093","-112.118168","NULL",3,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"128","Yavapai College","Prescott","AZ","86301","www.YC.EDU","34.547512","-112.454156","NULL",1,"13","NULL",11321,"0","0","0","0","0","0","0","0","0","0","0","0"
"129","University of Arkansas at Little Rock","Little Rock","AR","72204","ualr.edu/www/","34.726644","-92.341835","0.5928",1,"12","1048",22521,"0","0","0","1","1","1","1","2","2","1","2","1"
"130","University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199","www.uams.edu","34.749718","-92.320945","NULL",1,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"131","ABC Beauty College Inc","Arkadelphia","AR","71923","www.abc-beautycollege.com","34.12018","-93.080831","NULL",3,"32","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"132","Arkansas Baptist College","Little Rock","AR","72202-6068","www.arkansasbaptist.edu","34.734751","-92.290555","NULL",2,"12","NULL",19800,"0","0","0","0","0","0","0","0","0","0","2","0"
"133","Arkansas Beauty School-Little Rock","Little Rock","AR","72209","arkbeautyschool.com","34.669071","-92.334814","NULL",3,"12","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"134","Arkansas Beauty College","Russellville","AR","72801","www.arkansasbeautycollegersvlar.com/","35.278622","-93.13522","NULL",3,"33","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"135","Lyon College","Batesville","AR","72501","www.lyon.edu","35.778934","-91.628115","0.6142",2,"33","1109",33605,"0","0","0","1","1","0","1","1","1","1","1","1"
"136","Arkansas College of Barbering and Hair Design","North Little Rock","AR","72114","www.arkansascollegeofbarbering.com","34.753621","-92.266336","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"137","Arthur's Beauty College Inc-Fort Smith","Fort Smith","AR","72901-3342","www.arthursbeautycollege.com","35.379955","-94.410967","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"138","University of Arkansas","Fayetteville","AR","72701","www.uark.edu","36.06153","-94.178214","0.6204",1,"13","1155",20350,"1","1","1","1","1","1","1","1","1","1","2","1"
"139","University of Arkansas at Pine Bluff","Pine Bluff","AR","71601","www.uapb.edu","34.242192","-92.021263","0.3868",1,"13","886",15409,"1","1","0","1","1","0","1","1","1","1","1","1"
"140","Arkansas State University-Beebe","Beebe","AR","72012-1000","www.asub.edu","35.074512","-91.896165","NULL",1,"31","NULL",12278,"0","0","0","0","0","0","0","0","0","0","0","0"
"141","Arkansas State University-Main Campus","Jonesboro","AR","72401","www2.astate.edu","35.842779","-90.680478","0.7239",1,"13","1088",19359,"1","2","0","1","1","1","1","1","1","1","2","1"
"142","Arkansas Tech University","Russellville","AR","72801-2222","www.atu.edu","35.295227","-93.13233","0.8626",1,"33","1010",16518,"1","1","0","1","2","1","1","1","1","1","1","1"
"143","University of Arkansas at Monticello","Monticello","AR","71656","www.uamont.edu/","33.589788","-91.812971","NULL",1,"33","NULL",16071,"1","1","0","0","1","0","1","1","1","1","1","1"
"144","Arthur's Beauty College Inc-Jacksonville","Jacksonville","AR","72076","arthursbeautycollege.com","34.8918","-92.102284","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"145","Baptist Health College-Little Rock","Little Rock","AR","72210-2820","https://www.bhclr.edu","34.713115","-92.40692","0.6154",2,"12","990",24397,"0","0","0","0","0","0","0","0","0","0","0","0"
"146","Black River Technical College","Pocahontas","AR","72455","www.blackrivertech.edu","36.239793","-90.951033","NULL",1,"41","NULL",11865,"0","0","0","0","0","0","0","0","0","0","0","0"
"147","University of Central Arkansas","Conway","AR","72035-0001","www.uca.edu","35.078196","-92.45931","0.9426",1,"13","1049",18354,"0","1","0","1","1","0","1","1","1","1","1","1"
"148","Central Baptist College","Conway","AR","72034","www.cbc.edu","35.084574","-92.444102","0.5697",2,"13","985",21616,"0","0","0","0","1","0","1","0","1","0","1","0"
"149","Cossatot Community College of the University of Arkansas","De Queen","AR","71832","www.cccua.edu/","34.043389","-94.3673","NULL",1,"41","NULL",11917,"0","0","0","0","0","0","0","0","0","0","0","0"
"150","Crowley's Ridge College","Paragould","AR","72450","www.crc.edu/","36.066239","-90.58482","NULL",2,"41","NULL",18743,"0","0","0","0","1","0","0","0","0","0","1","0"
"151","Crowley's Ridge Technical Institute","Forrest City","AR","72335-0925","www.crti.tec.ar.us","35.041908","-90.767807","NULL",1,"32","NULL",7901,"0","0","0","0","0","0","0","0","0","0","0","0"
